"year" "decile.1" "decile.2" "decile.3" "decile.4" "decile.5" "decile.6" "decile.7" "decile.8" "decile.9" "decile.10"
2000 1285 2062 2737 3367 4097 4830 5773 6919 8631 14862
2001 1209 2040 2717 3434 4149 5015 5971 7365 9557 15905
2002 1151 1956 2627 3312 4043 4884 5891 7187 9144 15524
2003 1112 1942 2668 3330 4103 4981 5936 7273 9142 15688
2004 1140 2009 2721 3431 4200 4978 6005 7256 9443 16425
2005 1162 2064 2833 3645 4390 5301 6458 7846 9797 17021
2006 1165 2114 2903 3673 4514 5477 6535 8046 10203 18170
2007 1223 2218 3078 3950 4870 5962 7234 8694 11491 20174
2008 1300 2464 3464 4420 5455 6753 8107 9849 12916 22797
2009 1264 2462 3436 4495 5391 6601 7972 9733 12354 21784
2010 1385 2679 3759 4887 5959 7090 8450 10142 12887 23345
2011 1460 2834 3988 5200 6303 7587 9147 11193 14307 26622
2012 1518 2985 4290 5529 6800 8196 9806 11973 15038 29012
2013 1574 3045 4467 5696 7135 8479 10159 12521 15609 27287
