"year" "unemployed" "[0, 1000)" "[1000, 2000)" "[2000, 3000)" "[3000, 4000)" "[4000, 5000)" "[5000, 6000)" "[6000, 7000)" "[7000, 8000)" "[8000, 9000)" "[9000, 10000)" "[10000, 11000)" "[11000, 12000)" "[12000, 13000)" "[13000, 14000)" "[14000, 15000)" "[15000, 17500)" "[17500, 20000)" "[20000, Inf)"
2000 8.6 3.9 13.8 14.7 13.1 10.3 8.2 6.3 4.6 3.5 2.6 2.1 1.5 1.2 0.9 0.7 1.3 0.8 2
2001 6.9 4.4 13.3 14.2 12.6 10 8.3 6.3 4.7 3.9 3 2.2 1.7 1.4 1.1 0.8 1.6 1.1 2.5
2002 9 4.6 13.6 14.1 12.4 9.8 7.9 6.1 4.8 3.6 2.9 2.3 1.3 1.3 1 0.7 1.5 1 2.2
2003 9.7 5.2 13 13.9 12.2 9.7 8.2 6 4.6 3.6 2.6 2.2 1.5 1.3 1.1 0.7 1.4 0.9 2.3
2004 9.8 4.8 12.9 13.6 12.2 9.8 7.8 6 4.8 3.8 2.7 2.1 1.6 1.4 1 0.7 1.5 0.9 2.5
2005 10 4.8 12.3 12.7 11.5 9.4 7.9 6.3 5 3.9 2.8 2.4 1.8 1.5 1.2 0.9 1.7 1 2.9
2006 9 4.9 11.9 12.4 11.3 9.5 8.2 6.4 4.9 3.9 3 2.6 1.9 1.6 1.2 0.9 1.6 1.3 3.4
2007 8.6 4.7 10.9 11.2 10.6 9.2 7.9 6.7 5.3 4.2 3.4 3 1.9 2 1.5 1.1 2.1 1.5 4.2
2008 8.6 4 9.5 9.8 9.7 8.9 7.6 6.4 5.9 4.6 3.9 3.4 2.5 2 1.6 1.4 2.7 1.8 5.5
2009 9.6 4.3 9 9.9 9.9 8.5 8.2 6.7 5.2 4.6 3.7 3.4 2.4 2.3 1.8 1.4 2.6 1.6 4.9
2010 10.5 3.7 8.2 9.3 9.3 8.6 7.8 6.6 5.6 4.8 3.9 3.4 2.6 2.2 1.8 1.5 2.8 1.8 5.7
2011 9.3 3.4 7.5 8.3 8.3 8.2 7.5 6.7 6 5.2 4.2 3.7 2.7 2.5 2.1 1.8 3.6 2.2 6.8
2012 9.2 3.2 7 7.3 7.7 8 7.3 6.4 5.9 5.3 4.2 4.2 3.2 2.6 2.3 1.9 3.8 2.6 7.7
2013 9.4 2.9 7.2 7.2 7.4 7.4 6.9 6.3 5.8 5 4.6 4.3 3.3 3 2.5 2.1 4 2.6 8.3
